YUN3428.2,8048.0
BAQ3473.3,7854.0
YUN3533.3,7639.0
BAQ4697.3,7598.0
YUN3533.2,7595.0
YUN2029.2,7408.0
YUN1005.1.1,7335.0
YUN3856.3,7200.0
BAQ4166.2,6533.0
BAQ4166.1.2,6327.0
BAQ4697.1,6324.0
YUN3856.1.2,6258.0
BAQ2462.1,6065.0
BAQ4166.3,5904.0
BAQ4166.1.3,5685.0
YUN3259.3,5627.0
YUN1242.3,5547.0
YUN3428.3,5531.0
BAQ4697.2,5516.0
YUN1609.1,5479.0
YUN3856.2,5458.0
BAQ3473.1,5421.0
YUN3856.1.3,5308.0
YUN3533.1.1,5288.0
YUN1242.1,5041.0
YUN3428.1,4884.0
YUN3346.1,4879.0
BAQ2687.3,4806.0
BAQ3473.2,4798.0
YUN3856.1.1,4778.0
BAQ2687.2,4771.0
YUN3533.1.2,4557.0
YUN3346.3,4414.0
YUN3533.1.3,4382.0
BAQ2462.2,4381.0
YUN3259.2,4376.0
BAQ2420.2,4317.0
BAQ4166.1.1,4309.0
YUN3153.3,4281.0
BAQ2420.3,4200.0
YUN3259.1.2,4199.0
BAQ2687.1,3981.0
BAQ2420.1.3,3958.0
BAQ2420.1.2,3888.0
YUN1005.3,3621.0
YUN3153.2,3261.0
BAQ2462.3,3190.0
BAQ2420.1.1,3041.0
BAQ2838.1,2642.0
BAQ2838.2,2238.0
BAQ2838.3,1816.0
YUN3259.1.3,1446.0
YUN3346.2,957.0
YUN3259.1.1,91.0
BAQ1552.1.1,8.0
BAQ1370.3,1.0
BAQ1552.2,0.0
BAQ1370.1.3,0.0
YUN3153.1,0.0
YUN3008.3,0.0
BAQ895.2,0.0
BAQ895.3,0.0
YUN1005.1.3,0.0
YUN1005.2,0.0
YUN3184.2,0.0
YUN1242.2,0.0
YUN3184.1,0.0
YUN1609.3,0.0
YUN2029.1,0.0
YUN3008.1.1,0.0
YUN3008.1.2,0.0
YUN3008.1.3,0.0
YUN3008.2,0.0
BAQ1370.1.2,0.0
