sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.2	16	6	1	0	0
BAQ1370.1.3	54	5	1	0	0
BAQ1370.3	2	2	1	1	1
BAQ1552.1.1	56	38	14	8	8
BAQ1552.2	19	4	2	0	0
BAQ2420.1.1	7671	6884	6206	3041	3041
BAQ2420.1.2	7192	6474	6114	3888	3888
BAQ2420.1.3	6897	6343	6016	3958	3958
BAQ2420.2	6778	6067	5842	4317	4317
BAQ2420.3	6791	5924	5765	4200	4200
BAQ2462.1	9685	8376	8015	6065	6065
BAQ2462.2	6563	5706	5488	4381	4381
BAQ2462.3	5146	4595	4404	3190	3190
BAQ2687.1	8881	8145	7549	4090	3981
BAQ2687.2	7144	6003	5757	4771	4771
BAQ2687.3	9147	7825	7424	4826	4806
BAQ2838.1	6265	5518	5133	2650	2642
BAQ2838.2	5713	4951	4600	2265	2238
BAQ2838.3	3989	3416	3232	1820	1816
BAQ3473.1	11895	10597	9801	5485	5421
BAQ3473.2	10142	9249	8543	4798	4798
BAQ3473.3	12991	12023	11366	7862	7854
BAQ4166.1.1	10862	9684	8878	4477	4309
BAQ4166.1.2	13978	12313	11485	6502	6327
BAQ4166.1.3	10607	9542	8900	5799	5685
BAQ4166.2	13069	11830	11111	6583	6533
BAQ4166.3	13214	11702	10774	6054	5904
BAQ4697.1	9122	8443	8124	6324	6324
BAQ4697.2	8374	7683	7368	5529	5516
BAQ4697.3	11553	10435	10040	7605	7598
BAQ895.2	63	17	6	0	0
BAQ895.3	9	6	1	0	0
YUN1005.1.1	9272	8371	8265	7337	7335
YUN1005.1.3	34	4	1	0	0
YUN1005.2	17	3	1	0	0
YUN1005.3	4345	3955	3885	3621	3621
YUN1242.1	6103	5513	5470	5216	5041
YUN1242.2	109	90	31	0	0
YUN1242.3	7701	6889	6786	5751	5547
YUN1609.1	7714	6638	6487	5573	5479
YUN1609.3	20	3	1	0	0
YUN2029.1	82	59	7	0	0
YUN2029.2	9304	8517	8360	7492	7408
YUN2029.3	11	0	0	0	0
YUN3008.1.1	26	16	2	0	0
YUN3008.1.2	12	4	1	0	0
YUN3008.1.3	55	7	2	0	0
YUN3008.2	7	3	2	0	0
YUN3008.3	39	21	3	0	0
YUN3153.1	39	20	1	0	0
YUN3153.2	4839	4298	4155	3267	3261
YUN3153.3	5977	5329	5210	4428	4281
YUN3184.1	13	3	1	0	0
YUN3184.2	32	22	1	0	0
YUN3259.1.1	640	572	381	91	91
YUN3259.1.2	7118	6480	6178	4199	4199
YUN3259.1.3	2946	2650	2447	1446	1446
YUN3259.2	10666	9199	8458	4376	4376
YUN3259.3	11112	9836	9176	5665	5627
YUN3346.1	6963	6302	6153	4940	4879
YUN3346.2	1944	1755	1592	957	957
YUN3346.3	8044	6975	6637	4474	4414
YUN3428.1	10768	9590	9065	4891	4884
YUN3428.2	15222	13590	12774	8075	8048
YUN3428.3	11429	10255	9691	5586	5531
YUN3533.1.1	9962	9162	8552	5288	5288
YUN3533.1.2	9760	8975	8280	4557	4557
YUN3533.1.3	8236	7543	7083	4382	4382
YUN3533.2	12496	11593	11032	7638	7595
YUN3533.3	13338	12289	11472	7722	7639
YUN3856.1.1	10808	9449	8665	4778	4778
YUN3856.1.2	10104	9364	8853	6258	6258
YUN3856.1.3	7712	7027	6775	5308	5308
YUN3856.2	10271	9261	8690	5458	5458
YUN3856.3	13021	11789	11200	7266	7200
